sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s103,55,3,12,0.949763633214356,4.029
s103,56,3,4,0.4591797189341625,1.84
s103,57,2,12,1.3449290985510889,6.784
s103,58,3,8,0.6969672084985169,2.845
s103,59,2,12,1.625252534619924,6.008
s103,60,1,4,0.3814904347791811,1.581
s103,61,2,4,0.5574398637873377,4.663
s103,62,3,12,0.7880617419310453,3.402
s103,63,1,4,0.4821988628697246,1.881
s103,64,3,8,0.6363231944248935,2.246
s103,65,3,4,0.4838672875109937,1.781
s103,66,2,8,1.0284956444325335,6.531
s103,67,1,8,0.8971813167991005,3.657
s103,68,2,8,1.148612551102146,7.212
s103,69,1,4,0.6945203442817057,2.726
s103,70,2,8,1.146571112062074,7.972
s103,71,1,12,0.9862994068497534,4.08
s103,72,1,12,0.7445880983055921,3.592
s103,73,2,4,0.2908722525870602,1.682
s103,74,1,12,0.7851258994753255,4.122
s103,75,3,12,0.7737845330903595,4.069
s103,76,3,8,0.6950005874921713,2.961
s103,77,3,8,0.7797185317398281,3.769
s103,78,3,4,0.5548929702109789,2.178
s103,79,2,4,0.36384026633725775,2.037
s103,80,3,12,0.8113812290284518,4.077
s103,81,3,8,0.8550486083067477,3.646
s103,82,3,12,0.8152369199838612,4.208
s103,83,3,12,0.9068930160172036,3.767
s103,84,3,12,0.933521183631368,4.77
s103,85,2,4,0.7519051340485567,5.166
s103,86,3,12,0.8136112229858656,4.665
s103,87,3,4,0.3840642129191607,1.782
s103,88,3,8,0.7002593429287197,3.219
s103,89,3,12,0.7711973248034345,4.381
s103,90,1,12,0.7705011124747252,3.974
s103,91,2,8,0.5823823815780108,4.766
s103,92,3,4,0.360717434689318,2.111
s103,93,3,4,0.3151768153338969,1.365
s103,94,2,8,0.5913175477489407,4.192
s103,95,2,12,0.7487563435101847,5.551
s103,96,2,4,0.6044765945837586,3.224
s103,97,3,12,0.8860277592664927,4.129
s103,98,2,8,0.625811894772827,3.585
s103,99,3,8,0.5873530508559031,2.582
s103,100,3,4,0.35571813837282296,1.57
s103,101,1,12,0.8577967994051182,3.757
s103,102,3,12,1.0623941294393318,5.02
s103,103,2,4,0.12509722508056323,1.654
s103,104,2,12,1.0151287427110995,7.863
s103,105,2,12,0.968783000582367,11.202
s103,106,3,8,0.5284600306782157,2.854
s103,107,3,4,0.4708043678753556,2.304
s103,108,3,8,0.34224323485224045,2.243
s103,109,1,12,0.9849434620155196,4.481
s103,110,2,12,0.7754411266821752,5.592
s103,111,1,4,0.47617826509099354,1.715
s103,112,2,8,0.5466156405804505,4.786
s103,113,2,4,0.2748306060184253,3.302
s103,114,3,8,0.5650519392931789,2.978
s103,115,3,8,0.6977154555332498,3.272
s103,116,3,12,0.9058536283739932,4.495
s103,117,1,8,0.7349787590916473,3.214
s103,118,3,4,0.4763757031806395,1.795
s103,119,3,4,0.33637742858285297,1.496
s103,120,3,4,0.4095165631086412,1.407
s103,121,2,12,1.237881925894802,10.545
s103,122,2,4,0.5585587225905114,3.801
s103,123,3,4,0.36822320992528806,1.562
